epoch,phase,loss,top1,top5,lr,imgs_per_sec
162,train,1.782037,80.8045,93.3651,0.00006450,387.54
162,val,1.855620,77.2940,93.6940,0.00006450,1059.40
163,train,1.775194,80.9488,93.4443,0.00004742,386.70
163,val,1.852253,77.3500,93.6520,0.00004742,538.27
164,train,1.763548,81.3050,93.5873,0.00003296,389.69
164,val,1.847835,77.4760,93.6360,0.00003296,712.43
165,train,1.759592,81.4411,93.6015,0.00002112,383.90
165,val,1.848516,77.6160,93.6400,0.00002112,800.24
166,train,1.751528,81.6619,93.7008,0.00001190,386.79
166,val,1.848678,77.6600,93.7520,0.00001190,705.19
167,train,1.747182,81.7972,93.7497,0.00000532,386.52
167,val,1.845760,77.6580,93.7860,0.00000532,801.64
168,train,1.742049,81.9183,93.8097,0.00000137,386.95
168,val,1.846751,77.7540,93.7200,0.00000137,666.22
169,train,1.742336,81.9085,93.8111,0.00000005,389.25
169,val,1.847361,77.7100,93.6980,0.00000005,708.73
170,val,1.847361,77.7100,93.6980,0.00050000,784.97
170,train,2.379440,65.1971,85.5387,0.00179570,380.70
170,val,2.154678,69.8360,89.7160,0.00179570,601.06
171,train,2.317773,66.7549,86.3742,0.00172671,387.35
171,val,2.129648,70.2940,90.0720,0.00172671,698.92
172,train,2.279490,67.7612,86.9446,0.00165885,389.32
172,val,2.096907,71.2880,90.5160,0.00165885,576.73
173,train,2.249222,68.5291,87.3659,0.00159214,386.48
173,val,2.075302,71.8160,90.7580,0.00159214,675.75
174,train,2.227005,69.1089,87.6785,0.00152661,389.14
174,val,2.067100,71.9820,90.8220,0.00152661,577.70
175,train,2.207907,69.5448,87.9498,0.00146227,386.58
175,val,2.048929,72.4300,91.1240,0.00146227,1063.29
176,train,2.190597,69.9737,88.1729,0.00139913,382.97
176,val,2.044044,72.6240,91.2260,0.00139913,715.39
177,train,2.173480,70.3852,88.4246,0.00133721,390.33
177,val,2.016096,73.2300,91.6100,0.00133721,1124.42
178,train,2.163024,70.6723,88.5397,0.00127653,390.49
178,val,2.029828,72.9080,91.4680,0.00127653,702.15
179,train,2.145977,71.1255,88.8124,0.00121711,390.05
179,val,2.030687,73.0860,91.4580,0.00121711,1015.65
180,train,2.136308,71.3509,88.9289,0.00115895,390.66
180,val,2.009028,73.4480,91.8220,0.00115895,707.09
181,train,2.124274,71.6297,89.0922,0.00110207,392.92
181,val,2.003936,73.6160,91.7440,0.00110207,714.30
182,train,2.110906,71.9992,89.2820,0.00104648,393.02
182,val,2.001001,73.5660,91.8060,0.00104648,603.70
183,train,2.098927,72.2696,89.4519,0.00099221,385.28
183,val,1.991897,73.7620,91.8080,0.00099221,651.40
184,train,2.086690,72.6037,89.6194,0.00093926,392.92
184,val,1.978182,74.0320,92.1780,0.00093926,740.90
185,train,2.074994,72.8974,89.7788,0.00088765,390.04
185,val,1.978520,74.2280,92.1620,0.00088765,1017.47
186,train,2.062389,73.2032,89.9502,0.00083739,389.53
186,val,1.974704,74.2540,92.1640,0.00083739,744.05
187,train,2.050228,73.5373,90.0637,0.00078849,390.21
187,val,1.960331,74.5700,92.3020,0.00078849,1105.44
188,train,2.036245,73.8965,90.2954,0.00074096,390.33
188,val,1.953724,74.8040,92.4100,0.00074096,1134.36
189,train,2.022025,74.2703,90.4784,0.00069483,387.10
189,val,1.955865,74.7960,92.4040,0.00069483,655.54
190,train,2.011269,74.5679,90.6213,0.00065009,392.38
190,val,1.943949,75.0960,92.5420,0.00065009,715.49
191,train,1.999573,74.8329,90.7720,0.00060676,385.11
191,val,1.945668,75.2380,92.4960,0.00060676,678.35
192,train,1.986039,75.2197,90.9382,0.00056485,382.88
192,val,1.929846,75.4180,92.7320,0.00056485,575.12
193,train,1.973540,75.5781,91.0828,0.00052437,388.08
193,val,1.927285,75.4520,92.6600,0.00052437,740.02
194,train,1.959345,75.9203,91.2519,0.00048533,385.13
194,val,1.927004,75.5100,92.7820,0.00048533,695.82
195,train,1.943766,76.3409,91.4531,0.00044775,389.38
195,val,1.917371,75.6380,92.7820,0.00044775,731.03
196,train,1.930656,76.6669,91.6104,0.00041162,383.76
196,val,1.912998,75.7300,92.9760,0.00041162,570.81
197,train,1.918277,77.0123,91.7680,0.00037697,385.71
197,val,1.904155,75.8800,93.0180,0.00037697,694.28
198,train,1.904140,77.3392,91.9469,0.00034379,385.34
198,val,1.900772,76.2220,93.1280,0.00034379,561.75
199,train,1.889720,77.7636,92.1180,0.00031210,388.38
199,val,1.892270,76.3180,93.1440,0.00031210,730.68
200,train,1.875276,78.1538,92.3177,0.00028191,384.92
200,val,1.890235,76.5600,93.1360,0.00028191,1076.80
201,train,1.862033,78.5188,92.4480,0.00025322,385.19
201,val,1.883988,76.5400,93.2560,0.00025322,1069.86
202,train,1.847302,78.9543,92.6096,0.00022604,384.57
202,val,1.884598,76.7580,93.2940,0.00022604,451.89
203,train,1.832239,79.3135,92.7946,0.00020037,384.50
203,val,1.874386,76.8240,93.3300,0.00020037,686.71
204,train,1.823318,79.6071,92.9069,0.00017623,386.84
204,val,1.869462,77.0740,93.4720,0.00017623,605.72
205,train,1.807844,80.0101,93.0677,0.00015361,384.77
205,val,1.867742,77.1300,93.4760,0.00015361,733.63
206,train,1.795091,80.3821,93.2393,0.00013253,384.87
206,val,1.862656,77.3960,93.4720,0.00013253,1070.19
207,train,1.785380,80.6291,93.3176,0.00011300,384.65
207,val,1.860066,77.2080,93.5200,0.00011300,690.10
208,train,1.777641,80.8515,93.3870,0.00009500,387.02
208,val,1.858623,77.3040,93.5320,0.00009500,680.99
209,train,1.762004,81.2844,93.6018,0.00007856,384.91
209,val,1.853590,77.4660,93.5740,0.00007856,455.56
